hero1,hero2,hero3,hero4,hero5,result
14,25,45,83,100,1
20,29,45,70,100,0
20,25,31,71,73,0
36,50,100,101,107,1
25,86,100,101,107,0
14,48,73,77,83,1
23,29,36,43,58,1
8,23,87,100,107,0
8,36,43,47,104,0
25,26,29,58,117,1
71,73,87,108,109,0
25,55,73,79,104,1
26,36,39,73,97,0
29,36,61,100,101,0
14,23,73,79,104,1
14,43,71,104,109,1
20,23,79,100,104,0
45,48,102,107,117,0
14,71,73,107,109,0
14,25,74,79,107,1
8,48,50,106,107,0
24,36,43,44,97,0
20,25,35,71,104,0
14,23,83,100,102,1
15,23,32,58,70,1
26,29,36,53,77,1
15,43,70,81,83,1
26,36,79,80,104,0
10,25,64,101,106,1
32,36,43,55,82,1
10,11,49,65,87,0
10,25,77,101,106,0
29,48,62,102,110,1
25,43,50,55,104,1
31,32,36,61,66,0
31,50,62,97,101,1
10,32,36,58,97,0
36,54,61,80,110,0
29,36,43,64,103,1
23,25,62,97,102,0
14,25,80,83,106,1
25,29,65,66,106,1
31,43,64,77,87,0
31,46,65,73,83,1
6,11,97,107,113,1
11,36,50,55,73,1
11,16,50,100,107,1
6,11,21,65,73,1
14,16,73,77,87,1
6,21,64,106,117,1
6,65,87,100,117,1
7,25,62,83,113,1
11,16,50,51,73,0
6,11,27,106,107,0
21,25,64,100,113,1
20,29,70,71,106,1
7,24,29,70,106,0
11,58,67,70,81,1
25,55,62,79,106,1
14,25,62,65,83,0
6,7,81,100,111,1
13,25,65,67,117,1
25,55,71,79,106,0
10,87,100,111,113,1
9,58,65,67,111,1
24,29,62,70,111,1
4,20,29,70,117,0
9,11,87,100,111,1
11,27,100,107,111,0
58,64,70,81,111,1
36,55,65,73,77,0
34,80,87,111,117,1
6,21,34,58,81,1
49,65,67,71,87,1
25,43,58,64,111,1
1,34,36,61,87,0
11,39,70,87,100,0
58,65,67,87,104,1
0,58,61,64,111,1
23,87,100,101,111,1
20,58,67,70,100,1
0,7,47,61,87,1
25,26,32,87,117,1
0,47,58,64,87,1
20,47,70,84,97,1
0,29,53,64,86,0
26,36,55,73,106,1
25,58,64,111,117,0
25,61,64,84,93,1
14,36,81,87,93,1
11,25,58,61,87,1
7,32,51,64,93,0
45,51,55,64,73,0
26,47,48,51,58,1
0,11,47,87,99,1
25,45,62,67,101,1
14,73,83,93,119,1
3,26,70,81,83,0
29,47,51,64,93,0
43,48,65,67,99,0
26,36,49,87,99,1
14,47,51,99,116,1
14,25,47,51,81,0
29,42,50,84,97,0
11,27,42,87,106,1
4,23,25,26,64,1
37,41,51,57,99,1
50,57,67,97,116,0
14,25,83,93,94,1
57,70,72,96,106,0
20,24,25,67,97,1
94,99,120,121,122,1
9,26,36,62,87,1
62,84,88,99,122,1
2,32,40,44,57,1
7,19,59,69,121,1
24,67,81,121,122,0
0,26,36,94,104,0
19,20,67,81,121,0
7,25,58,61,87,0
0,24,36,57,97,1
4,36,47,84,105,0
14,29,99,106,116,1
14,49,77,83,116,1
14,49,71,83,88,1
14,24,37,41,116,1
47,57,87,99,116,1
14,24,83,88,97,0
20,29,93,97,120,1
24,57,87,106,116,1
27,36,69,83,97,1
24,25,37,41,69,0
25,58,69,83,106,1
20,37,41,61,95,0
14,24,29,36,43,1
31,57,58,87,97,1
26,50,83,106,116,0
47,57,62,83,116,1
1,47,101,107,116,1
31,37,58,87,101,1
14,37,68,87,96,1
37,68,86,107,118,1
30,33,62,68,81,1
47,58,68,83,84,1
14,31,40,85,91,0
31,35,69,87,93,1
45,51,55,68,106,0
14,58,97,107,116,0
45,49,68,85,101,1
62,68,80,87,101,0
60,84,96,97,116,1
37,50,71,84,85,1
0,1,19,60,104,1
35,36,55,68,104,0
33,43,50,55,120,0
45,49,83,85,101,1
14,47,58,85,116,1
0,47,87,116,121,0
51,60,65,84,97,0
29,47,51,58,101,0
1,14,36,68,81,0
14,68,71,79,106,1
1,33,37,70,104,0
14,35,68,83,93,1
45,62,68,87,104,1
37,47,84,96,116,0
31,32,37,48,66,1
5,35,40,50,85,1
5,9,45,83,109,1
14,47,51,68,93,0
45,50,68,94,101,1
116,14,37,45,87,1
5,37,83,88,96,1
9,25,27,45,50,1
31,37,47,84,85,1
36,43,55,83,104,1
14,35,45,79,116,0
30,47,62,68,122,1
1,7,25,37,104,0
14,36,43,83,93,1
39,47,50,85,101,1
51,55,79,104,106,1
18,43,55,120,122,1
14,37,51,79,116,1
14,32,50,58,70,0
45,50,68,73,84,1
35,85,87,96,101,1
30,48,62,83,86,1
18,23,35,50,85,1
18,47,50,51,100,0
37,45,66,83,88,0
18,45,62,68,77,1
35,51,60,79,101,0
35,46,47,48,83,0
30,31,37,44,62,0
0,47,68,86,119,0
30,37,44,50,66,1
37,39,46,60,85,0
16,47,62,84,85,1
30,37,44,77,119,0
0,44,63,66,83,1
0,44,60,66,93,1
37,50,66,79,116,1
12,50,84,85,93,1
37,47,60,69,85,1
5,37,45,112,119,0
44,66,69,81,83,1
35,39,60,77,120,1
35,45,50,69,120,1
43,44,69,83,99,0
36,55,64,73,104,0
44,45,66,72,102,1
47,51,69,77,99,0
19,31,66,81,102,1
7,24,60,62,85,1
37,44,66,107,112,1
40,45,66,109,117,1
19,37,46,62,109,1
83,84,91,96,116,0
24,64,73,102,107,0
14,32,41,50,81,1
19,44,45,66,69,1
35,37,50,69,85,1
19,31,46,55,62,0
19,31,37,46,80,0
26,31,37,77,119,1
14,28,31,99,119,1
28,83,86,102,105,0
19,45,46,81,105,1
19,46,81,100,109,0
9,25,48,69,91,1
9,11,31,86,111,0
26,37,48,83,96,1
14,37,48,96,104,0
30,62,102,111,112,1
0,25,91,111,113,1
77,81,85,102,105,1
31,69,104,106,113,0
26,77,83,91,119,1
9,26,37,83,119,1
